image_path,year,timepoint,location,nitrogen_amount,experiment,block,row,column,genotype,planting_date,stand_count,yield,image_collection_date,p2i_days,experiment_id,sample_id,set,rank
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_10_2.TIF,2022,TP1,Ames,1.0,4231,3.0,2,10,PHP02 X W606S,2022-05-22,59.0,152.81,2022-07-15,54,2022_Ames_4231,Ames_4231_10_2,val,0.475
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_10_3.TIF,2022,TP1,Ames,1.0,4231,3.0,3,10,HOEGEMEYER 8065RR,2022-05-22,61.0,153.29,2022-07-15,54,2022_Ames_4231,Ames_4231_10_3,val,0.30833333333333335
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_10_4.TIF,2022,TP1,Ames,1.0,4231,3.0,4,10,PHK56 X PHJ89,2022-05-22,52.0,146.77,2022-07-15,54,2022_Ames_4231,Ames_4231_10_4,val,0.48333333333333334
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_10_5.TIF,2022,TP1,Ames,1.0,4231,3.0,5,10,B73 X PHZ51,2022-05-22,68.0,109.4,2022-07-15,54,2022_Ames_4231,Ames_4231_10_5,val,0.8416666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_10_6.TIF,2022,TP1,Ames,1.0,4231,3.0,6,10,2FACC X 3IIH6,2022-05-22,68.0,119.39,2022-07-15,54,2022_Ames_4231,Ames_4231_10_6,val,0.55
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_10_7.TIF,2022,TP1,Ames,1.0,4231,3.0,7,10,PHZ51 X LH145,2022-05-22,69.0,62.87,2022-07-15,54,2022_Ames_4231,Ames_4231_10_7,val,0.9583333333333334
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_11_2.TIF,2022,TP1,Ames,1.0,4231,3.0,2,11,PHK76 X W606S,2022-05-22,51.0,123.24,2022-07-15,54,2022_Ames_4231,Ames_4231_11_2,val,0.825
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_11_3.TIF,2022,TP1,Ames,1.0,4231,3.0,3,11,LH123HT X PHB47,2022-05-22,64.0,113.07,2022-07-15,54,2022_Ames_4231,Ames_4231_11_3,val,0.9166666666666666
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_11_4.TIF,2022,TP1,Ames,1.0,4231,3.0,4,11,PHP02 X PHN46,2022-05-22,48.0,120.13,2022-07-15,54,2022_Ames_4231,Ames_4231_11_4,val,0.65
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_11_5.TIF,2022,TP1,Ames,1.0,4231,3.0,5,11,PHW52 X PHM49,2022-05-22,60.0,141.98,2022-07-15,54,2022_Ames_4231,Ames_4231_11_5,val,0.44166666666666665
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_11_6.TIF,2022,TP1,Ames,1.0,4231,3.0,6,11,PHW52 X PHZ51,2022-05-22,63.0,143.59,2022-07-15,54,2022_Ames_4231,Ames_4231_11_6,val,0.6083333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_11_7.TIF,2022,TP1,Ames,1.0,4231,3.0,7,11,LH123HT X 3IIH6,2022-05-22,63.0,103.65,2022-07-15,54,2022_Ames_4231,Ames_4231_11_7,val,0.8166666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_12_2.TIF,2022,TP1,Ames,1.0,4231,3.0,2,12,HOEGEMEYER 7089 AMXT,2022-05-22,52.0,183.96,2022-07-15,54,2022_Ames_4231,Ames_4231_12_2,val,0.3333333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_12_3.TIF,2022,TP1,Ames,1.0,4231,3.0,3,12,PHK76 X LH198,2022-05-22,78.0,128.42,2022-07-15,54,2022_Ames_4231,Ames_4231_12_3,val,0.7
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_12_4.TIF,2022,TP1,Ames,1.0,4231,3.0,4,12,LH185 X W606S,2022-05-22,53.0,130.97,2022-07-15,54,2022_Ames_4231,Ames_4231_12_4,val,0.3416666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_12_5.TIF,2022,TP1,Ames,1.0,4231,3.0,5,12,F42 X MO17,2022-05-22,64.0,111.78,2022-07-15,54,2022_Ames_4231,Ames_4231_12_5,val,0.6666666666666666
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_12_7.TIF,2022,TP1,Ames,1.0,4231,3.0,7,12,B73 X MO17,2022-05-22,68.0,107.98,2022-07-15,54,2022_Ames_4231,Ames_4231_12_7,val,0.5
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_13_2.TIF,2022,TP1,Ames,1.0,4231,3.0,2,13,PIONEER 1311 AMXT,2022-05-22,63.0,128.91,2022-07-15,54,2022_Ames_4231,Ames_4231_13_2,val,0.35
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_13_3.TIF,2022,TP1,Ames,1.0,4231,3.0,3,13,PHJ40 X LH82,2022-05-22,69.0,140.89,2022-07-15,54,2022_Ames_4231,Ames_4231_13_3,val,0.625
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_13_4.TIF,2022,TP1,Ames,1.0,4231,3.0,4,13,PHK56 X LH145,2022-05-22,60.0,121.67,2022-07-15,54,2022_Ames_4231,Ames_4231_13_4,val,0.4
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_13_5.TIF,2022,TP1,Ames,1.0,4231,3.0,5,13,N209 X 3IIH6,2022-05-22,62.0,141.72,2022-07-15,54,2022_Ames_4231,Ames_4231_13_5,val,0.4166666666666667
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_13_6.TIF,2022,TP1,Ames,1.0,4231,3.0,6,13,PHG39 X PHN82,2022-05-22,58.0,193.95,2022-07-15,54,2022_Ames_4231,Ames_4231_13_6,val,0.31666666666666665
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_13_7.TIF,2022,TP1,Ames,1.0,4231,3.0,7,13,PHW52 X LH185,2022-05-22,61.0,129.52,2022-07-15,54,2022_Ames_4231,Ames_4231_13_7,val,0.5583333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_14_2.TIF,2022,TP1,Ames,1.0,4231,3.0,2,14,PHP02 X LH198,2022-05-22,58.0,138.38,2022-07-15,54,2022_Ames_4231,Ames_4231_14_2,val,0.5333333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_14_3.TIF,2022,TP1,Ames,1.0,4231,3.0,3,14,PHN46 X PHB47,2022-05-22,62.0,126.88,2022-07-15,54,2022_Ames_4231,Ames_4231_14_3,val,0.575
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_14_4.TIF,2022,TP1,Ames,1.0,4231,3.0,4,14,SYNGENTA NK0760-3111,2022-05-22,72.0,202.1,2022-07-15,54,2022_Ames_4231,Ames_4231_14_4,val,0.8583333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_14_5.TIF,2022,TP1,Ames,1.0,4231,3.0,5,14,PHB47 X PHK56,2022-05-22,58.0,129.0,2022-07-15,54,2022_Ames_4231,Ames_4231_14_5,val,0.4583333333333333
G:\mlcas24\data\train\2022\DataPublication_final\Satellite\Ames\TP1\Ames-TP1-4231_14_6.TIF,2022,TP1,Ames,1.0,4231,3.0,6,14,PHT69 X 3IIH6,2022-05-22,64.0,124.37,2022-07-15,54,2022_Ames_4231,Ames_4231_14_6,val,0.6
